Pest Incidence,Disease Occurrence,Pesticide Usage,Crop Resistance,Crop Susceptibility,Efficacy of Control Measures,Climate Risk Factors,Recommended Crop
24,45,17,54,17,86,75,Potato
47,5,36,86,53,51,47,Barley
38,82,32,96,34,1,64,Soybean
32,60,57,89,40,74,79,Tomato
19,50,65,78,9,72,11,Barley
52,71,16,7,4,19,33,Barley
30,47,81,58,51,17,11,Soybean
47,30,55,49,26,17,42,Corn
3,64,12,29,68,37,56,Soybean
74,57,0,65,29,37,26,Corn
35,98,68,16,38,94,72,Soybean
30,15,20,94,43,92,49,Wheat
21,37,27,38,32,37,55,Barley
37,50,11,99,33,87,9,Wheat
41,33,89,86,60,94,87,Rice
71,66,6,60,17,47,82,Tomato
91,11,48,90,28,76,76,Tomato
83,98,80,79,7,47,94,Rice
57,51,22,14,94,80,63,Rice
67,2,48,32,35,79,86,Wheat
14,76,65,7,2,49,95,Barley
35,31,8,34,15,50,32,Tomato
64,21,86,44,53,29,69,Potato
56,24,87,42,82,43,97,Soybean
90,62,6,16,35,97,64,Rice
64,74,31,63,89,42,75,Corn
77,75,10,97,13,90,84,Wheat
71,84,43,74,99,45,7,Wheat
98,82,34,72,18,42,12,Corn
57,29,84,8,76,90,15,Tomato
88,7,39,6,3,58,0,Wheat
95,51,6,91,47,43,19,Wheat
84,62,31,49,91,23,63,Soybean
93,77,78,28,2,17,57,Potato
97,26,96,51,18,14,37,Wheat
11,13,91,81,0,11,97,Tomato
40,6,81,13,98,12,39,Potato
14,10,78,39,20,76,56,Rice
66,41,79,56,31,49,71,Soybean
16,32,12,8,75,59,4,Wheat
73,22,33,61,88,6,50,Corn
67,51,70,87,29,35,11,Wheat
36,97,63,59,33,53,0,Barley
60,99,17,38,1,84,2,Rice
24,54,93,21,64,48,48,Potato
36,11,92,22,60,75,78,Soybean
33,18,93,77,44,7,82,Barley
23,29,14,99,63,13,89,Potato
36,78,29,58,80,47,9,Potato
2,41,98,72,14,27,95,Barley
33,54,13,57,47,93,85,Potato
26,7,3,69,17,52,54,Tomato
72,49,43,72,88,62,58,Wheat
91,53,32,62,76,42,12,Corn
62,92,70,27,87,7,26,Barley
61,53,61,69,75,92,46,Corn
80,89,55,72,67,60,44,Tomato
31,59,10,79,6,44,57,Soybean
77,99,54,3,25,2,3,Barley
8,45,55,16,73,92,63,Soybean
49,37,69,73,23,45,88,Wheat
10,9,60,65,49,96,46,Soybean
23,8,96,83,0,47,81,Potato
10,79,83,27,10,82,22,Tomato
35,35,5,24,87,31,89,Wheat
36,18,32,59,81,63,7,Barley
62,56,9,60,3,84,87,Potato
51,85,59,33,28,34,96,Soybean
53,12,35,79,54,70,84,Tomato
76,69,49,10,30,70,19,Potato
47,55,28,14,12,2,95,Tomato
58,43,72,21,52,11,6,Tomato
82,57,5,44,30,22,29,Soybean
5,90,4,64,51,51,74,Corn
64,62,48,46,23,30,38,Barley
93,96,10,32,83,74,17,Rice
99,13,74,26,95,27,84,Tomato
66,78,95,37,79,63,93,Soybean
75,62,92,46,74,5,57,Soybean
6,25,9,73,23,36,46,Potato
15,3,98,26,88,0,27,Corn
23,55,1,91,67,47,96,Potato
91,32,72,85,90,43,81,Potato
74,37,14,69,27,23,18,Tomato
29,77,25,94,48,75,97,Tomato
7,12,40,69,26,3,58,Barley
45,5,15,26,89,19,10,Corn
81,65,62,35,41,59,21,Tomato
13,75,20,12,23,28,30,Wheat
56,29,50,98,36,72,93,Wheat
84,14,95,76,13,37,40,Rice
41,5,58,62,97,42,87,Wheat
57,88,88,71,98,61,96,Rice
9,58,83,7,97,49,33,Rice
86,42,40,18,86,84,62,Wheat
79,64,52,80,33,48,9,Soybean
11,84,7,17,77,95,53,Tomato
52,86,96,9,40,80,11,Potato
73,73,69,19,7,32,37,Wheat
41,52,3,74,15,44,36,Rice
